step,total_loss,learning_rate,beats_features,whisper_features
845,1.7021484375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the hay that's mounting in the wall.
846,1.625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the hay that's mounting in the wall.
847,1.470703125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the hay that's mounting in the wall.
848,1.8212890625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
849,1.9228515625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
850,1.673828125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
851,1.8818359375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
852,2.05859375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
853,1.8974609375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
854,1.857421875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
855,1.7041015625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
856,1.7060546875,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Humans hate it's massing in the wall.
857,1.5712890625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Humans hate it's massing in the wall.
858,1.7001953125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the hater that's mounting in the wall.
859,1.67578125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the hater that's mounting in the wall.
860,1.9541015625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," You don't have to hate, it's dancing in the world."
861,2.025390625,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," You don't have to hate, it's dancing in the world."
862,1.7724609375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']"," You don't have to hate, it's dancing in the world."
863,1.80078125,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
864,1.443359375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mounting in the wall.
865,1.6552734375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the woe.
866,2.005859375,0.01,"['/m/09x0r', '/m/04rlf', '/m/0ytgt', '/m/07rgkc5', '/m/07pjwq1']", Human is the head that's mancing in the woe.
